Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S008429    ,Sants-Montjuïc,la Marina del Prat Vermell,2.12562442,41.34004482,October,11-15,06-09h,Friday,Weekday,2,0,2,2,TRUE,TRUE
2017S007316    ,Sants-Montjuïc,la Marina del Prat Vermell,2.12045245,41.33942606,September,1-5,12-15h,Friday,Weekday,2,0,2,2,TRUE,TRUE
2017S010210    ,Sants-Montjuïc,la Marina del Prat Vermell,2.1673561,41.3608855,December,6-10,21-00h,Friday,Weekday,5,0,5,2,TRUE,TRUE
2017S006364    ,Sants-Montjuïc,la Marina del Prat Vermell,2.12452894,41.33766786,July,21-25,00-03h,Friday,Weekday,1,0,1,2,TRUE,TRUE
2017S004615    ,Sant Martí,el Camp de l'Arpa del Clot,2.185272,41.416365,May,21-25,12-15h,Thursday,Weekday,1,0,1,3,FALSE,FALSE
2017S007775    ,Sant Martí,el Camp de l'Arpa del Clot,2.183245,41.416336,September,16-20,12-15h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
2017S004484    ,Sant Martí,el Camp de l'Arpa del Clot,2.183245,41.416336,May,16-20,21-00h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S010680    ,Sant Martí,el Camp de l'Arpa del Clot,2.183561,41.416372,December,26-31,18-21h,Tuesday,Weekday,2,0,2,1,FALSE,FALSE
2017S005152    ,Sant Martí,el Camp de l'Arpa del Clot,2.184059,41.416763,June,11-15,15-18h,Monday,Weekday,1,0,1,1,FALSE,FALSE
2017S003932    ,Sant Martí,el Camp de l'Arpa del Clot,2.181225,41.413958,May,1-5,18-21h,Wednesday,Weekday,1,0,1,1,FALSE,FALSE
2017S010348    ,Sant Martí,el Camp de l'Arpa del Clot,2.18229,41.415772,December,11-15,18-21h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
